Commure EHR Integration Reference — SE Master Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  EHR ID,,  RCM  ·  Revenue Cycle Management,,,,,,,  Ambient AI  ·  Clinical Documentation,,,,,,,  Agents,,,  Commure Pro,,  Pivot Guidance,,,,,,  Meta,,,,,
EHR Name,EHR Aliases / Alt Names,RCM Status,RCM Difficulty,RCM Method,RCM Min ARR,"RCM Timeline
(Best Case)","RCM Timeline
(Typical)",RCM Notes / Constraints,"Ambient
Status","Ambient Writeback
Method","Ambient Appt
Sync Method","Ambient Appt
Sync Notes","Ambient Client
Prerequisites","Ambient
Timeline",Ambient Notes,"Agents
Supported",Agents Tier,Agents Notes,"Pro
Supported",Pro Notes,Blocker Signal 1,Pivot Path 1,Blocker Signal 2,Pivot Path 2,SE Action Guidance,SE Internal Notes,Source Validated,"Validate w/
Engineering",Last Updated,Owner,,
Epic,Epic Systems,Conditional,Very Hard,HL7,"$1,000,000+",⚠ Validate,⚠ Validate,No new builds <$1M. 8+ month launch timeline. Gated — requires Commure exec approval. Epic negotiates integration terms directly.,Supported,SMART on FHIR (API),FHIR API (scheduling),Epic Hyperdrive / Hyperspace. Up to 5 SmartSections for note writeback.,"Epic SMART on FHIR app approval, IT sandbox access, FHIR endpoint confirmed, test patient + appointment",⚠ Validate,Note writeback limited to 5 SmartSections. Ambient is faster path than RCM on Epic — lead with Ambient if Epic is the EHR.,✅ Yes,Tier 1,Epic + MEDITECH Expanse are the only Tier 1 Agents targets. Full denial automation available.,❌ No,Pro is not applicable for Epic. Epic handles charge capture natively.,"""Our IT team controls Epic access and won't grant API credentials""",Escalate to AE + exec sponsor. Epic integration requires health system IT governance approval — not a technical fix.,"""We want RCM and Ambient on Epic""","Ambient is fastest path — FHIR API makes it straightforward. RCM requires separate HL7 build and exec approval. Sequence Ambient first, RCM in Phase 2.","Lead with Ambient AI. RCM on Epic = exec conversation, not SE conversation. Agents available but position after contract.",INTERNAL: Epic RCM = $1M+ deals only. Flag to AE immediately if customer brings up Epic RCM without budget signal.,"RCM Notion CSV, EHR One-Pager, Deal Desk 3/13",✅ Validate timelines,Mar 2026,Chris Logue,,
MEDITECH Expanse V2,"Expanse 2.2.58+, v2.1.70+",Supported,Hard,V2 API (primary) + HL7 + Colossus,⚠ Validate,8–12 weeks,14–20 weeks,"Gold path. V2 API supports pull appointments, sectioned note writeback (HPI, ROS, PE, AP), E/M codes, clinical impressions. RCM Agent fully supported. MEDITECH co-sells — 15% rev share on API use.",Supported,V2 API,V2 API scheduling,Appointment pull via V2 API — decoupled from writeback. REST 3.0 server + IdP for SMART-on-FHIR OAuth required.,"Expanse V2 version confirmed (2.2.58+ / v2.1.70+), REST 3.0 server, IdP for SMART-on-FHIR OAuth, dedicated IT resource for weekly API testing calls",8–12 weeks,Best integration path for both RCM and Ambient. MEDITECH committed engineering resources at no cost.,✅ Yes,Tier 1,"Full Denial Agent. Pulls 835 CARC/RARC, retrieves claim context via FHIR, writes back via HL7 DFT^P03.",⚠ Caution,Do NOT lead with Pro on Expanse V2. MEDITECH co-sell relationship takes priority. Consult Vish/Ian before positioning Pro.,"""Our IT team isn't ready to support weekly API testing calls""",Slow path: Colossus (Selenium-based) as interim while API is configured. Adds 4–6 weeks but unblocks go-live.,"""We're on Expanse but not sure if V2""","Ask: ""What version of MEDITECH Expanse are you running? We need to confirm 2.2.58+ or v2.1.70+."" If unclear, ask IT to pull version string. Magic/C/S = completely different path.",Confirm version BEFORE scoping. Version is the fork in the road. One question saves the entire discovery.,INTERNAL: MEDITECH is P0 partner. Do not undermine co-sell by leading with Pro on Expanse V2. Alert AE to co-sell opportunity — 15% rev share.,"MEDITECH RCM Agents doc, Deal Desk 3/13, Expanse Integration Options",✅ Validate timelines,Mar 2026,Chris Logue,,
MEDITECH Expanse,Expanse <2.2.58,Supported,Hard,HL7 + Colossus (Selenium-based),⚠ Validate,10–14 weeks,16–24 weeks,Standard Expanse path. V2 API not available at this version. Colossus handles browser automation. RCM Agent available with limitations.,Supported,HL7 + Colossus,Colossus (browser-based) or HL7,Appointment pull via Colossus is browser-based — Justin's note: treat as Selenium for scoping purposes. DOM writeback NOT used here — HL7 inbound means appts are tied to writeback flow.,"MEDITECH Expanse version confirmed, NPR access (if HL7), Colossus infrastructure, test environment, IT point of contact",10–14 weeks,Upgrade path to V2 should be part of conversation — position V2 as the long-term architecture.,✅ Yes,Tier 1 (with limitations),Agents available. Writeback limitations compared to V2. Confirm scope with engineering.,⚠ Caution,Consult Vish/Ian before positioning Pro. Same co-sell consideration as V2.,"""Our IT won't support Colossus/browser automation""",HL7 NMI path if available. Longer timeline (add 4–6 weeks) but no browser dependency.,"""Can we upgrade to Expanse V2?""","Yes — and it unlocks the full API path for both RCM and Ambient. Position upgrade as a value enabler, not a requirement.",Ask about version in first discovery call. Qualifying V2 vs standard Expanse changes the entire scoping conversation.,INTERNAL: Same co-sell rules as V2. Do not lead with Pro.,"MEDITECH RCM Agents doc, Expanse Integration Options doc",✅ Validate timelines,Mar 2026,Chris Logue,,
MEDITECH Magic,Magic,Supported,Hard,HL7 + NPR Scripts,⚠ Validate,12–16 weeks,20–28 weeks,"Legacy platform. Deep integration via custom NPR code for outbound data, HL7 for inbound. No FHIR APIs. Commure Pro fills the gap for charge capture.",Limited,NPR Scripts + HL7,NPR Scripts (custom),Appointment pull via custom NPR scripting — browser-based equivalent. Tied to writeback infrastructure.,"NPR database access, HL7 NMI interface access, IT resources familiar with Magic NPR, test environment",⚠ Validate,Legacy architecture. Every Magic site is different. Scope carefully.,❌ No,Tier 3,Agents not available on Magic. No FHIR APIs. Do not position Agents.,✅ Strong candidate,Commure Pro (PatientKeeper) is the right conversation for Magic clients. Autonomous Coding + Charge Capture for hospitalist/inpatient. Lead with Pro opportunity — flag to Pro team immediately.,"""Our NPR team is unavailable for this project""","Without NPR access, Magic integration is blocked. Explore upgrade to C/S or Expanse as an alternative path.","""We don't want to do the upgrade right now""",Commure Pro is available today without the upgrade. Position as value-now vs. value-later when they're ready for Expanse.,Flag Pro opportunity immediately. Escalate to Pro team (Vish/Ian). Do not scope as standard RCM Agents deal.,INTERNAL: Magic = Pro opportunity. Do not scope standard Agents. Pro team owns this conversation after your handoff.,"MEDITECH Overview deck, Commure Pro deck, Deal Desk 3/13",✅ Validate timelines,Mar 2026,Chris Logue,,
MEDITECH C/S,Client/Server,Supported,Hard,HL7 + NPR Scripts,⚠ Validate,12–16 weeks,20–28 weeks,Similar to Magic but slightly newer architecture. Same NPR dependency. Commure Pro applicable. No FHIR APIs.,Limited,NPR Scripts + HL7,NPR Scripts (custom),Same as Magic — appointment pull tied to NPR scripting.,"NPR database access, HL7 NMI interface, Magic/C/S IT familiarity, test environment",⚠ Validate,Same constraints as Magic. Pro conversation should happen in parallel.,❌ No,Tier 3,No Agents on C/S. No API path.,✅ Strong candidate,Same as Magic — lead with Commure Pro. Flag to Pro team.,"""We're evaluating upgrading to Expanse""","Excellent — Expanse V2 is the gold path. Recommend sequencing: Pro now to solve immediate need, Expanse roadmap for long-term RCM + Agents.","""Do we need NPR expertise internally?""","Yes — NPR scripting is specialized. If their team doesn't have it, timeline extends. Confirm NPR resource availability in first technical call.","Same playbook as Magic. Flag Pro, escalate to Pro team, and position Expanse upgrade as Phase 2.",INTERNAL: Do not scope standard Agents. Pro team handoff required.,"MEDITECH Overview deck, Commure Pro deck",✅ Validate timelines,Mar 2026,Chris Logue,,
athenahealth,"athenaOne, athenaClinicals, Athena Collector",Supported,Very Hard,HL7 + Selenium,No minimum documented,⚠ Validate,⚠ Validate,Athena is gating all practices — causing access issues. First HL7 via AZ Urology potentially happening. Replaces Athena Collector.,Supported,API (primary) or Selenium (fallback),API (scheduling) — preferred,Athena API: authorization via marketplace.athenahealth.com. Requires Augmedix authorization consent form. 2FA must be disabled for service accounts. Appointment Report Builder access required.,"Athena API authorization form completed, 2FA disabled for Commure service accounts, Appointment Report Builder access, test patient + appointment",⚠ Validate,API path is cleaner and faster for Ambient. Selenium fallback available but adds complexity and gating risk.,❌ No,Not applicable,Agents not currently available for Athena.,❌ No,Pro not applicable for Athena.,"""Our Athena admin won't disable 2FA for service accounts""",Selenium path as fallback — does not require API credentials. Note: Selenium on Athena has the gating risk (Athena can restrict access). Document the risk.,"""We need appointment syncing automated""","API path handles this natively. If API auth is blocked, Selenium pulls appointments browser-based (tied to writeback). If DOM writeback, appointments are decoupled — can use CSV (1–2 days) or HL7.",Confirm API authorization status in first call. Gating is a real risk — have the Selenium fallback ready to present.,INTERNAL: Athena gating is an active issue. Check with engineering on current gate status before committing timeline.,"Athena SOW, Integration Scope Template, RCM Notion CSV",✅ Validate timelines + gating status,Mar 2026,Chris Logue,,
eClinicalWorks,eCW,Supported,Easy,Selenium (primary) / HL7 (larger sites),No minimum,4–6 weeks,6–8 weeks,"Selenium pulls capped at 1 DOS per pull — use HL7 for larger sites (e.g., Pediatrics Associates of Charlottesville). One of easiest paths.",Supported,DOM Injection (primary) or Selenium,DOM = no appt sync needed. Selenium = browser pull.,If DOM writeback: appointment sync NOT required — providers manually add patients or use self-serve workflow. If Selenium writeback: browser-based appt pull included.,"EHR login credentials (3 sets), test patient, test appointment, note access permission",4–8 weeks,"eCW supports Orders integration (Imaging, Labs, Procedures, Medications) via structured entry — strong differentiator. ICD-10 + CPT available.",❌ No,Not applicable,Agents not available for eCW.,❌ No,Pro not applicable.,"""We need appointment syncing automated but don't want browser automation""","If using DOM writeback, appointments are decoupled. Options: (1) CSV feed — can be done in 1–2 days, (2) HL7 — more robust, future-compatible, preferred for larger sites.","""Selenium pulls at 1 DOS per pull are too slow for our patient volume""",Switch to HL7 for appointment ingestion. Adds 2–4 weeks but handles high-volume sites reliably. Already proven (Pediatrics Associates of Charlottesville).,Ask about patient volume in discovery. >500 appointments/day = HL7 path. Lead with DOM for fastest Ambient go-live.,"INTERNAL: DOM + manual appts = fastest Ambient go-live. If they need appt sync, add HL7 as Phase 2 or price into scope.","RCM Notion CSV, Integration Scope Template, eCW SOW templates, Deal Desk 3/13",No — timelines confirmed,Mar 2026,Chris Logue,,
Cerner / Oracle Health,"Oracle Health, Cerner Millennium",Supported,Hard,837 File Batch,"$500,000",⚠ Validate,⚠ Validate,837 batch file integration. ~6 month launch timeline. No new builds <$500K.,Supported,SMART on FHIR (API),FHIR API (scheduling),Oracle Health has public FHIR R4 APIs. Treated as single integration — no version branching unlike MEDITECH.,"FHIR endpoint access, Oracle Health IT point of contact, test environment, API credentials",⚠ Validate,"Cerner RCM = 837 batch, which is different from Ambient FHIR path. Ensure SE understands these are separate workstreams.",❌ No,Not applicable,Agents not available for Cerner.,❌ No,Pro not applicable.,"""We can't share 837 batch files — security policy""","Explore HL7 alternative path. Flag to engineering — no guaranteed path, adds significant timeline.","""We want Ambient AI on Cerner — how does that compare to RCM?""",Ambient uses Cerner FHIR APIs — much cleaner and faster than RCM batch path. Can run in parallel. Sequence Ambient first if they have appetite for both.,Lead with Ambient if they're open to it — FHIR path is straightforward. RCM = $500K+ threshold conversation.,INTERNAL: $500K ARR minimum for RCM. Hard stop.,"RCM Notion CSV, EHR One-Pager, Deal Desk 3/13",✅ Validate timelines,Mar 2026,Chris Logue,,
NextGen Office,"NextGen, NextGen Office",Supported,Medium,DB Connection (medium) or Selenium (easy),No minimum,4–8 weeks,6–10 weeks,Selenium is Easy; DB Connection is Medium difficulty. DB Connection is blocked for new NextGen Enterprise builds as of Jan 1 2025 outside Augmedix. NextGen Office = different product from NextGen Enterprise.,Supported,Selenium or API,Browser-based (Selenium) or API,"Full field set: Subjective, Objective, Assessment, Plan sections all supported. One of the most complete Ambient integrations.","EHR login credentials, test patient, test appointment, note access permission",4–8 weeks,Rich field set for Ambient — strong demo story for NextGen practices.,❌ No,Not applicable,,❌ No,Not applicable,,"""We're on NextGen Enterprise, not Office""","NextGen Enterprise = different product, different integration. Enterprise uses API (v5.9.2+ required) with NGMobileDictation document approach. Confirm which version.","""IT won't support DB Connection""",Selenium path is available and easier — less IT dependency. DB Connection adds capability but isn't required.,Confirm NextGen Office vs Enterprise at the start of every call. They are completely different integrations.,INTERNAL: NextGen Enterprise API blocked outside Augmedix as of Jan 2025. Confirm with engineering before scoping Enterprise deals.,"RCM Notion CSV, Integration Scope Template, NextGen SOW templates",No,Mar 2026,Chris Logue,
ModMed,"Modernizing Medicine, ModMed EMA",Supported,Easy,Selenium,No minimum,4–6 weeks,6–8 weeks,"Selenium. Specialty-focused: Allergy, Dermatology, Gastroenterology, Otolaryngology.",Supported,DOM Injection,DOM = no appt sync needed,DOM writeback — appointment sync NOT required. Providers add patients manually or use self-serve workflow.,"EHR login credentials, test patient, test appointment, note access permission",4–6 weeks,"ModMed EMA DOM: HPI Additional Comments, Exam Additional Comments, Impression and Plan Additional Comments. Field set is limited but clean.",❌ No,Not applicable,,❌ No,Not applicable,,"""We need appointment syncing with ModMed""","DOM writeback decouples appointments from writeback. Options: CSV feed (1–2 days), HL7 if available. ModMed API for appointments — confirm availability.","""Can you write to more fields in ModMed?""",DOM currently supports 3 field areas. Additional fields require new integration scope and separate fees. Set expectation clearly.,Set ModMed field expectations early — 3 field areas. Don't let discovery create false expectations.,INTERNAL: ModMed DOM = fastest Ambient go-live in its specialty set.,"RCM Notion CSV, Integration Scope Template, ModMed templates",No,Mar 2026,Chris Logue,
WebPT,WebPT,Supported,Easy,Selenium,No minimum,4–6 weeks,6–8 weeks,Direct Connect EHR. PT/Rehab focused. Stable integration.,Supported,Selenium,Browser-based (Selenium),Appointment pull included with Selenium writeback — tied together.,"EHR login credentials, test patient, test appointment",4–6 weeks,Strong PT/Rehab option. One of the easier integrations.,❌ No,Not applicable,,❌ No,Not applicable,,"""We can't provide browser credentials""",No alternative path documented for WebPT. Escalate to engineering if credential access is blocked.,,,,Standard Selenium deal. Straightforward scoping.,INTERNAL: PT/Rehab focus — confirm specialty before scoping templates.,RCM Notion CSV,No,Mar 2026,Chris Logue
AdvancedMD,AMD,Supported,Medium,Selenium,No minimum,6–10 weeks,10–14 weeks,"Direct Connect EHR. Multi-specialty: Allergy, EM, Family, Internal Medicine, Neuro, Ortho, Peds, Psych, Thoracic, Urology.",Supported,Selenium,Browser-based (Selenium),Appointment pull included with Selenium writeback.,"EHR login credentials, test patient, test appointment",6–10 weeks,Medium difficulty — more configuration than Easy EHRs but well-understood path.,❌ No,Not applicable,,❌ No,Not applicable,,"""Our IT team controls login credentials and is slow to provision""",Credential provisioning is on the critical path. Request credentials in kickoff. Timeline doesn't start until credentials are received (per SOW).,,,,Flag credential timing early. It's the #1 delay on Medium difficulty EHRs.,INTERNAL: Medium difficulty = more IT touchpoints. Set expectation with customer PM.,RCM Notion CSV,No,Mar 2026,Chris Logue
Elation,"Elation EHR, ElationPM",Supported,Hard,Selenium,"$250,000",8–10 weeks,12–16 weeks,CRITICAL: Requires ElationPM paired with Elation EHR — separate PM systems not supported. Elation stores only 1 insurance record (can't modify or see old insurance).,Supported,Selenium,Browser-based (Selenium),Appointment pull tied to Selenium writeback.,"ElationPM confirmed (not separate PM), EHR login credentials, test patient, test appointment",8–12 weeks,Insurance limitation is a hard constraint — communicate early.,❌ No,Not applicable,,❌ No,Not applicable,,"""We use a separate PM system, not ElationPM""",Hard stop — Elation integration requires ElationPM. Cannot proceed without it. Document as deal blocker.,"""We need to see multiple insurance records""","Elation stores 1 insurance record by design. This is a product limitation of Elation, not Commure. Cannot be worked around.","Confirm ElationPM in the first call. If they don't have it, the deal is blocked — escalate to AE.",INTERNAL: $250K minimum. ElationPM dependency is a hard blocker. Flag immediately if not confirmed.,RCM Notion CSV,No,Mar 2026,Chris Logue,
Kareo / Tebra,"Kareo, Tebra",Supported,Easy,Selenium,No minimum,4–6 weeks,6–8 weeks,"Straightforward Selenium. Family Medicine, OB/GYN, Ortho, PT, Psychiatry.",Supported,Selenium,Browser-based (Selenium),Appointment pull included.,"EHR login credentials, test patient, test appointment",4–6 weeks,One of the easiest integrations. Low-risk.,❌ No,Not applicable,,❌ No,Not applicable,,,,,,,Straightforward deal. Strong for mid-market ambulatory.,INTERNAL: Easy path. No minimum ARR.,RCM Notion CSV,No,Mar 2026,Chris Logue
DrChrono,DrChrono,Supported,Easy,Selenium,No minimum,4–6 weeks,6–8 weeks,"Family Medicine, Internal Medicine, Neurology, PT. Easy path.",Supported,Selenium,Browser-based (Selenium),Appointment pull included.,"EHR login credentials, test patient, test appointment",4–6 weeks,,❌ No,Not applicable,,❌ No,Not applicable,,,,,,,Standard easy deal.,"INTERNAL: Easy, no minimum.",RCM Notion CSV,No,Mar 2026,Chris Logue
PracticeFusion,Practice Fusion,Supported,Easy,Selenium,No minimum,4–6 weeks,6–8 weeks,Known data limitations. Confirm what fields are accessible before committing.,Supported,Selenium,Browser-based (Selenium),Appointment pull included.,"EHR login credentials, test patient, test appointment",4–8 weeks,Data limitations — set expectations early on what fields are available.,❌ No,Not applicable,,❌ No,Not applicable,,"""What data can you pull from PracticeFusion?""",Known limitations — confirm specific fields with engineering before scoping. Do not over-commit.,,,,Confirm field availability with engineering before scoping. Data limitations = expectation risk.,INTERNAL: Data limitations are real. Don't let sales over-promise.,RCM Notion CSV,No,Mar 2026,Chris Logue
Greenway,Greenway Health,Conditional,Hard,HL7 or Transformer,"$500,000",⚠ Validate,⚠ Validate,No new builds <$500K. HL7 has potential to extend timelines 120+ days. Requires approval.,Limited,⚠ Validate,⚠ Validate,Not well-documented for Ambient. Escalate to engineering.,"Approval required, EHR access, IT point of contact",⚠ Validate,Greenway is a conditional / approval-required deal. Not a standard path.,❌ No,Not applicable,,❌ No,Not applicable,,"""We're on Greenway and want to move forward""","Need deal desk approval before scoping. Flag to AE — $500K minimum, 120+ day risk on HL7 path.",,,,Never commit to Greenway timeline without approval. 120+ days is real.,INTERNAL: Approval required. $500K minimum. Hard stop.,RCM Notion CSV,✅ Validate everything,Mar 2026,Chris Logue
Heno,Heno PT,Conditional,Hard,837 File Batch or Transformer,"$500,000",⚠ Validate,⚠ Validate,No new builds <$500K. PT/Rehab focused.,Unknown,⚠ Validate,⚠ Validate,Not documented for Ambient.,Approval required,⚠ Validate,,❌ No,Not applicable,,❌ No,Not applicable,,"""We're on Heno and want Ambient""",Ambient path not documented. Escalate to engineering before making any commitments.,,,,Do not commit without engineering and deal desk approval.,INTERNAL: Approval required. $500K minimum.,RCM Notion CSV,✅ Validate everything,Mar 2026,Chris Logue
NetHealth,NetHealth,Supported,Hard,DB Connection or Selenium,"$250,000",8–10 weeks,12–16 weeks,"PT/Rehab. Every site's instance is different — some browser-based, some server-based. UNITS calculations done on Commure side. Policy holder data not pulled via DB Connection — manual process required.",Supported,Selenium or DB Connection,Instance-specific,Requires instance assessment before scoping. Browser vs server-based determines approach.,"NetHealth version and hosting type, DB or browser access details, IT contact for instance-specific configuration",8–16 weeks,Instance variability is the main risk — scope carefully.,❌ No,Not applicable,,❌ No,Not applicable,,"""Our NetHealth instance is server-based""",DB Connection path. Longer build but more stable than browser-based. Policy holder limitation applies — must be communicated.,"""We need policy holder data pulled automatically""",DB Connection doesn't pull policy holder data — manual process required. Cannot be worked around currently.,Request instance type in first call. Never scope NetHealth without knowing browser vs server.,INTERNAL: $250K minimum. Instance variability = scope risk. Always do a technical discovery call.,RCM Notion CSV,No,Mar 2026,Chris Logue,
MedENT,MedENT,Supported,Hard,HL7,"$250,000",⚠ Validate,⚠ Validate,Last customer was Lattimore. Limited deployment history. EM + PT/Rehab.,Unknown,⚠ Validate,⚠ Validate,Not documented for Ambient.,"Approval, HL7 access",⚠ Validate,,❌ No,Not applicable,,❌ No,Not applicable,,,,,,,Very limited history. Treat like a new build — involve engineering early.,INTERNAL: $250K minimum. Low deployment history = higher risk.,RCM Notion CSV,✅ Validate,Mar 2026,Chris Logue
Office Ally,Office Ally,Supported,Easy,Selenium,No minimum,4–8 weeks,6–10 weeks,CAUTION: Multiple versions of Office Ally exist. Built for 1 version — other versions may not expose the data level needed for a successful Colossus build.,Unknown,⚠ Validate,⚠ Validate,Version-dependent. Confirm version before scoping Ambient.,"Office Ally version confirmed, EHR login credentials",⚠ Validate,Version confirmation is critical — don't scope without it.,❌ No,Not applicable,,❌ No,Not applicable,,"""We're on Office Ally but not sure which version""","Need to confirm version before scoping. If on an unsupported version, integration may not be possible.",,,,Version confirmation is the first question. Don't proceed without it.,INTERNAL: Version risk is real. Never commit to Office Ally without version confirmation.,RCM Notion CSV,No — but confirm version,Mar 2026,Chris Logue
InSync,InSync Healthcare,Supported,Medium,Selenium,No minimum,6–10 weeks,8–12 weeks,Integration is stable but EHR itself is unstable. Psychiatry-focused.,Supported,Selenium,Browser-based (Selenium),Appointment pull included.,"EHR login credentials, test patient, test appointment",6–10 weeks,EHR instability = production risk post go-live. Set expectations.,❌ No,Not applicable,,❌ No,Not applicable,,"""InSync keeps having outages""","Commure integration is stable — InSync EHR instability is a product issue on their side, not ours. Document for customer awareness.",,,,Proactively disclose EHR instability so customer isn't surprised post go-live.,INTERNAL: EHR instability is a known risk. Include in SOW exclusions language.,RCM Notion CSV,No,Mar 2026,Chris Logue